Country,Continent,Cumulative_cases,Cumulative_deaths,India_Region,India_Confirme_Cases,India_Active_Cases,India_Cured_Discharged,India_Death,Vac_Countries,TOTAL_VACCINATION,VACCINES_USED,VACCINES_USED
Montserrat,America,176,2,,,,,,Myanmar,51530066,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
Morocco,Africa,1164189,16061,,,,,,Namibia,834756,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Mozambique,Africa,225304,2200,,,,,,Nauru,22976,2,"AstraZeneca - Vaxzevria,SII - Covishield"
Myanmar,Asia,612480,19434,,,,,,Nepal,43757928,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Namibia,Africa,157914,4021,,,,,,Netherlands,35587410,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Nauru,,3,0,,,,,,New Caledonia,458085,2,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Nepal,Asia,978634,11951,,,,,,New Zealand,10992499,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty"
Netherlands,Europe,8006753,22138,,,,,,Nicaragua,10003541,9,"AstraZeneca - Vaxzevria,CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
New Caledonia,Oceania,60521,312,,,,,,Niger,2689995,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
New Zealand,Oceania,803269,514,,,,,,Nigeria,33932163,1,SII - Covishield
Nicaragua,America,14339,232,,,,,,Niue,4161,1,Pfizer BioNTech - Comirnaty
Niger,Africa,8846,308,,,,,,North Macedonia,1843955,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac,Wuhan CNBG - Inactivated"
Nigeria,Africa,255633,3142,,,,,,Northern Mariana Islands (Commonwealth of the),,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Niue,,7,0,,,,,,Norway,11278521,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
North Macedonia,Europe,308152,9256,,,,,,occupied Palestinian territory,3716803,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Northern Mariana Islands (Commonwealth of the),Oceania,11203,34,,,,,,Oman,7030077,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Norway,Europe,1417630,2783,,,,,,Pakistan,251063642,8,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
"occupied Palestinian territory, including east Jerusalem",,656617,5656,,,,,,Palau,46724,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Oman,Asia,388763,4257,,,,,,Panama,7995825,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Other,,764,13,,,,,,Papua New Guinea,422817,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Pakistan,Asia,1526829,30362,,,,,,Paraguay,8546702,8,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Palau,,4122,6,,,,,,Peru,69970277,3,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty"
Panama,America,767438,8178,,,,,,Philippines,143751270,11,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Julphar - Hayat-Vax,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Papua New Guinea,Oceania,43636,649,,,,,,Pitcairn Islands,106,1,AstraZeneca - Vaxzevria
Paraguay,America,648446,18734,,,,,,Poland,54165921,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Peru,America,3552467,212528,,,,,,Portugal,23730626,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Philippines,Asia,3682083,59891,,,,,,Puerto Rico,7083235,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Pitcairn Islands,,0,0,,,,,,Qatar,6694215,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Poland,Europe,5982664,115775,,,,,,Republic of Korea,120600744,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty"
Portugal,Europe,3697617,21964,,,,,,Republic of Moldova,2154271,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Puerto Rico,America,489219,4182,,,,,,Romania,15976953,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Qatar,Asia,363139,677,,,,,,Russian Federation,164655398,2,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V"
Republic of Korea,,15979061,20352,,,,,,Rwanda,19864875,7,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Republic of Moldova,,516004,11477,,,,,,Saba,3156,,
Réunion,,360445,731,,,,,,Saint Helena,7892,1,AstraZeneca - AZD1222
Romania,Europe,2877544,65285,,,,,,Saint Kitts and Nevis,57949,3,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield"
Russia,Europe,18041927,372766,,,,,,Saint Lucia,119348,5,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Rwanda,Africa,129760,1459,,,,,,Saint Vincent and the Grenadines,69895,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,SII - Covishield"
Saba,,495,0,,,,,,Samoa,304893,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Saint Barthélemy,,4233,4,,,,,,San Marino,69164,2,"Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty"
Saint Helena,,0,0,,,,,,Sao Tome and Principe,208657,2,"AstraZeneca - Vaxzevria,SII - Covishield"
Saint Kitts and Nevis,America,5554,43,,,,,,Saudi Arabia,63823469,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Saint Lucia,America,23050,365,,,,,,Senegal,2496373,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
Saint Martin,,10129,44,,,,,,Serbia,6695589,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Saint Pierre and Miquelon,,2537,1,,,,,,Seychelles,199850,4,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Julphar - Hayat-Vax,SII - Covishield"
Saint Vincent and the Grenadines,America,8348,106,,,,,,Sierra Leone,2868978,2,"Beijing CNBG - BBIBP-CorV,SII - Covishield"
Samoa,,4092,9,,,,,,Singapore,13825593,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
San Marino,,15874,114,,,,,,Sint Eustatius,3110,,
Sao Tome and Principe,,5948,73,,,,,,Sint Maarten,62043,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Saudi Arabia,,752188,9062,,,,,,Slovakia,7060104,5,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Senegal,Africa,85954,1965,,,,,,Slovenia,2952581,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Serbia,Europe,1992677,15906,,,,,,Solomon Islands,393415,4,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,SII - Covishield"
Seychelles,Africa,41379,163,,,,,,Somalia,2511394,4,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac"
Sierra Leone,Africa,7677,125,,,,,,South Africa,33405701,2,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Singapore,Asia,1148656,1309,,,,,,South Sudan,645347,2,"Janssen - Ad26.COV 2-S,SII - Covishield"
Sint Eustatius,,886,5,,,,,,Spain,101041014,4,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Sint Maarten,America,9873,86,,,,,,Sri Lanka,39365274,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Slovakia,Europe,1757117,19643,,,,,,Sudan,7037185,5,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Slovenia,Europe,992497,7509,,,,,,Suriname,553031,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield"
Solomon Islands,Oceania,12285,139,,,,,,Sweden,20714993,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Somalia,Africa,26471,1361,,,,,,Switzerland,16169128,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
South Africa,Africa,3735578,100132,,,,,,Syrian Arab Republic,3609370,6,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac"
South Sudan,Africa,17369,138,,,,,,Tajikistan,11532475,6,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Spain,Europe,11787004,104036,,,,,,Thailand,131009123,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Sri Lanka,Asia,662748,16494,,,,,,The United Kingdom,141456685,3,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Sudan,Africa,62057,4929,,,,,,Timor-Leste,1417237,4,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Suriname,America,79276,1325,,,,,,Togo,2757575,1,SII - Covishield
Sweden,Europe,2491980,18506,,,,,,Tokelau,1936,1,Pfizer BioNTech - Comirnaty
Switzerland,Europe,3551798,13087,,,,,,Tonga,157483,2,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty"
Syrian Arab Republic,Asia,55756,3148,,,,,,Trinidad and Tobago,1549291,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield"
Tajikistan,Asia,17786,125,,,,,,Tunisia,13062036,7,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Thailand,Asia,3973003,26510,,,,,,Turkey,147211194,3,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Turkovac"
Timor-Leste,Asia,22851,130,,,,,,Turkmenistan,7140000,6,"Anhui ZL - Zifivax,AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,RIBSP - QazVac,SRCVB - EpiVacCorona"
Togo,Africa,36957,272,,,,,,Turks and Caicos Islands,68800,1,Pfizer BioNTech - Comirnaty
Tokelau,,0,0,,,,,,Tuvalu,12528,1,AstraZeneca - Vaxzevria
Tonga,,8761,11,,,,,,Uganda,19399787,5,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Trinidad and Tobago,America,140781,3787,,,,,,Ukraine,31668577,6,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Tunisia,Africa,1038668,28509,,,,,,United Arab Emirates,24628316,5,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield"
Turkey,Europe,14978031,98493,,,,,,United Republic of Tanzania,5031070,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty"
Turkmenistan,America,0,0,,,,,,United States of America,552480933,3,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
Turks and Caicos Islands,,5936,36,,,,,,Uruguay,8109917,3,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac"
Tuvalu,,0,0,,,,,,Uzbekistan,46569941,7,"Anhui ZL - Zifivax,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac"
Uganda,Africa,163944,3597,,,,,,Vanuatu,242178,3,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S"
Ukraine,Europe,4990465,108220,,,,,,Venezuela (Bolivarian Republic of),37860994,6,"Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Finlay - Soberana-02,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Sinovac - CoronaVac"
United Arab Emirates,Asia,894523,2302,,,,,,Viet Nam,208244568,6,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CIGB - CIGB-66,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty"
United Kingdom,Europe,21715120,171046,,,,,,Wallis and Futuna,16287,1,Moderna - Spikevax
United Republic of Tanzania,Africa,33851,803,,,,,,Yemen,814569,3,"Janssen - Ad26.COV 2-S,SII - Covishield,Sinovac - CoronaVac"
United States of America,America,79716960,979321,,,,,,Zambia,3383947,3,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield"
United States Virgin Islands,America,15836,111,,,,,,Zimbabwe,9518765,4,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Gam-Covid-Vac,Sinovac - CoronaVac"
Uruguay,America,894630,7186,,,,,,,,,
Uzbekistan,Asia,238176,1637,,,,,,,,,
Vanuatu,Oceania,5543,6,,,,,,,,,
Venezuela (Bolivarian Republic of),America,521618,5697,,,,,,,,,
Vietnam,Asia,10297587,42878,,,,,,,,,
Wallis and Futuna,Oceania,454,7,,,,,,,,,
Yemen,Asia,11815,2147,,,,,,,,,
Zambia,Africa,317804,3968,,,,,,,,,
Zimbabwe,Africa,247160,5460,,,,,,,,,
